blue,green,red,ndwi,brightness,label,source_file
0.0091652395,0.027066503,0.08596766,-0.52108705,0.040733133,1,GSL_1993_07.tif
0.011201116,0.02615169,0.08555273,-0.53176504,0.04096851,1,GSL_1993_07.tif
0.011436025,0.029627977,0.089702085,-0.50342387,0.043588698,1,GSL_1993_07.tif
0.012297357,0.033378705,0.09063569,-0.46169254,0.04543725,1,GSL_1993_07.tif
0.012297357,0.027432429,0.091050625,-0.5369347,0.04359347,1,GSL_1993_07.tif
0.011475177,0.024093365,0.086330734,-0.56361616,0.040633094,1,GSL_1993_07.tif
0.010574693,0.028072797,0.08358178,-0.49714476,0.04074309,1,GSL_1993_07.tif
0.011201116,0.032006487,0.0915693,-0.4819903,0.044925634,1,GSL_1993_07.tif
0.010574693,0.028804647,0.08731621,-0.50388074,0.042231847,1,GSL_1993_07.tif
0.011201116,0.03209797,0.08690127,-0.460531,0.04340012,1,GSL_1993_07.tif
